old_path,new_path,notes
/,/,mantener
/nosotros/,/nosotros,mantener
/solicita-informacion-productos-servicios/,/contacto,formulario principal
/divisores-para-proyectos-de-construccion/,/productos/ladrillo-f-pv-rayado-vertical,ajustar slug según producto final
/enchapes-de-alta-calidad/,/productos,catálogo general
/diseno-y-construccion-de-fachadas/,/productos,catálogo general
/pisos/,/productos?category=Pisos,categoría pisos
/techos/,/productos,categoría techos — mapear a producto equivalente
/tienda/,/productos,no es tienda online
/mi-cuenta/,/contacto,eliminar flujo e-commerce
/carrito-de-compras/,/contacto,eliminar flujo e-commerce
/finaliza-tu-compra/,/contacto,eliminar flujo e-commerce
/politicas-de-privacidad-y-tratamiento-de-datos/,/legal/privacidad,crear página legal
/politica-de-devoluciones-y-reembolsos/,/legal/devoluciones,crear página legal
/fachadas-rusticas/ladrillo-toscano-claro/,/productos/ladrillo-toscano-claro,producto legacy
/fachadas-rusticas/ladrillo-toscano-oscuro/,/productos/ladrillo-toscano-oscuro,producto legacy
/fachadas-rusticas/ladrillo-nap-rojo/,/productos/ladrillo-napolitano-rojo,producto legacy
/fachadas-rusticas/ladrillo-romano-rustico-rojo/,/productos/ladrillo-romano-rustico-rojo,producto legacy
/fachadas-rusticas/cartagena/,/productos/ladrillo-cartagena,producto legacy
/rayados-verticales/rayado-vertical-12-rojo/,/productos/ladrillo-f-pv-rayado-vertical,producto legacy
/rayados-horizontales/rayado-horizontal-12-rojo/,/productos/ladrillo-f-pv-rayado-horizontal,producto legacy
/enchapes-rusticos/enchape-romano-rojo/,/productos/enchape-romano-rojo,producto legacy
/pisos-rusticos/piso-rustico-30-x-30/,/productos/piso-rustico-30x30,producto legacy
